rank,title,author,score
1,Calculus,James Stewart,100
2,The Elements of Style,William Strunk,100
3,Social Research Methods,Alan Bryman,100
4,Human Anatomy and Physiology Laboratory Manual,Elaine Nicpon Marieb,100
5,English Grammar in Use,Raymond Murphy,100
6,Research Design,John W Creswell,100
7,Doing Your Research Project: A Guide for First-Time Researchers in Education and Social Science,Judith Bell,100
8,Biology,Neil Alexander Campbell,100
9,"A Manual for Writers of Research Papers, Theses, and Dissertations: Chicago Style for Students and Researchers",Kate L Turabian,100
10,The Study Skills Handbook,Stella Cottrell,100
11,Discovering Statistics Using IBM SPSS,Andy P Field,100
12,Orientalism,Edward W Said,100
13,Manifesto of the Communist Party,Karl Marx,100
14,Marketing Management,Philip Kotler,100
15,Molecular Biology of the Cell: The Problems Book,Bruce Alberts,100
16,Imagined Communities: Reflections on the Origin and Spread of Nationalism,Benedict R O'G Anderson,100
17,Introduction to Algorithms,T H Corman,100
18,They Say/I Say,Cathy Birkenstein,100
19,A Pocket Style Manual,Sommers,100
20,The Craft of Research,Wayne C Booth,100
21,Artificial Intelligence: A Modern Approach,S Russel,100
22,Frankenstein,Mary Wollstonecraft Shelley,100
23,Leviathan,Thomas Hobbes,100
24,Discipline and Punish: The Birth of the Prison,Michel Foucault,99
25,Research Methods for Business Students,Mark Saunders,100
26,Critical Thinking Skills: Developing Effective Analysis and Argument,Stella Cottrell,100
27,Introductory Econometrics: A Modern Approach,Jeffrey M Wooldridge,100
28,The Good Research Guide: For Small-Scale Social Research Projects,Martyn Denscombe,100
29,Give Me Liberty!: An American History,Eric Foner,100
30,Principles of Corporate Finance,Richard A Brealey,100
31,Computer Networking,James F Kurose,100
32,Real World Research: A Resource for Social Scientists and Practitioner-Researchers,Colin Robson,100
33,A Writer's Reference,Diana Hacker,99
34,The Prince,Niccolo Machiavelli,99
35,The Art of Public Speaking,Stephen E Lucas,99
36,Heart of Darkness,Joseph Conrad,99
37,Doing Qualitative Research: A Practical Handbook,David Silverman,99
38,Leadership: Theory and Practice,Peter G Northouse,99
39,Principles of Anatomy and Physiology,Gerard J Tortora,99
40,Republic,Plato,99
41,Gender Trouble: Feminism and the Subversion of Identity,Judith Butler,99
42,International Economics: Theory and Policy,Paul R Krugman,99
43,Ways of Seeing: Based on the BBC Television Series,John Berger,99
44,We the People: An Introduction to American Politics,Ginsburg,99
45,Research Methods in Education,Louis Cohen,99
46,The Clash of Civilizations?,Samuel P Huntington,98
47,Case Study Research: Design and Methods,Robert K Yin,99
48,Medical-Surgical Nursing: Assessment and Management of Clinical Problems,Sharon Mantik Lewis,100
49,Principles of Marketing,Philip Kotler,99
50,Pedagogy of the Oppressed,Paulo Freire,99
51,Getting to Yes: Negotiating Agreement Without Giving In,Ury,99
52,Engineering Mechanics,R C Hibbeler,99
53,Physical Chemistry,P W Atkins,99
54,How to Read a Paper: The Basics of Evidence-Based Medicine,Trisha Greenhalgh,98
55,"Fundamentals of Physics: David Halliday, Robert Resnick, Jearl Walker",David Halliday,99
56,The Reflective Practitioner: How Professionals Think in Action,Donald A Schon,98
57,Reflective Practice: Writing and Professional Development,Gillie Bolton,99
58,Easy Writer,Andrea Lundsford,96
59,Film Art: An Introduction,David Bordwell,98
